file;sample;sample_name;condition;replicate
C:\DATA_TRANSFER\Spain\P2024-21_Core_UAH_BelenS\20241202_CultBatch1\P2024-21_UAH_BelenPC3andEV_cultbatch1_rep1_1_500ng_Slot1-10_1_10401;P2024-21_UAH_BelenPC3andEV_cultbatch1_rep1_1_500ng_Slot1-10_1_10401;PC3andEV_Cultbatch1_rep1;EV;1
C:\DATA_TRANSFER\Spain\P2024-21_Core_UAH_BelenS\20241202_CultBatch1\P2024-21_UAH_BelenPC3andEV_cultbatch1_rep2_1_500ng_Slot1-11_1_10409;P2024-21_UAH_BelenPC3andEV_cultbatch1_rep2_1_500ng_Slot1-11_1_10409;PC3andEV_Cultbatch1_rep2;EV;2
C:\DATA_TRANSFER\Spain\P2024-21_Core_UAH_BelenS\20241202_CultBatch1\P2024-21_UAH_BelenPC3andEV_cultbatch1_rep3_1_500ng_Slot1-12_1_10420;P2024-21_UAH_BelenPC3andEV_cultbatch1_rep3_1_500ng_Slot1-12_1_10420;PC3andEV_Cultbatch1_rep3;EV;3
C:\DATA_TRANSFER\Spain\P2024-21_Core_UAH_BelenS\20241202_CultBatch1\P2024-21_UAH_BelenPC3andEV_cultbatch1_rep4_1_500ng_Slot1-13_1_10428;P2024-21_UAH_BelenPC3andEV_cultbatch1_rep4_1_500ng_Slot1-13_1_10428;PC3andEV_Cultbatch1_rep4;EV;4
C:\DATA_TRANSFER\Spain\P2024-21_Core_UAH_BelenS\20241202_CultBatch1\P2024-21_UAH_BelenPC3andEV_cultbatch1_rep5_1_500ng_Slot1-14_1_10438;P2024-21_UAH_BelenPC3andEV_cultbatch1_rep5_1_500ng_Slot1-14_1_10438;PC3andEV_Cultbatch1_rep5;EV;5
C:\DATA_TRANSFER\Spain\P2024-21_Core_UAH_BelenS\20241202_CultBatch1\P2024-21_UAH_BelenPC3andEV_cultbatch1_rep6_1_500ng_Slot1-15_1_10446;P2024-21_UAH_BelenPC3andEV_cultbatch1_rep6_1_500ng_Slot1-15_1_10446;PC3andEV_Cultbatch1_rep6;EV;6
C:\DATA_TRANSFER\Spain\P2024-21_Core_UAH_BelenS\20241220_CultBatch2\P2024-21_UAH_BelenPC3andEV_cultbatch2_rep1_1_500ng_Slot1-1_1_10720;P2024-21_UAH_BelenPC3andEV_cultbatch2_rep1_1_500ng_Slot1-1_1_10720;PC3andEV_Cultbatch2_rep1;EV;1
C:\DATA_TRANSFER\Spain\P2024-21_Core_UAH_BelenS\20241220_CultBatch2\P2024-21_UAH_BelenPC3andEV_cultbatch2_rep2_1_500ng_Slot1-2_1_10728;P2024-21_UAH_BelenPC3andEV_cultbatch2_rep2_1_500ng_Slot1-2_1_10728;PC3andEV_Cultbatch2_rep2;EV;2
C:\DATA_TRANSFER\Spain\P2024-21_Core_UAH_BelenS\20241220_CultBatch2\P2024-21_UAH_BelenPC3andEV_cultbatch2_rep3_1_500ng_Slot1-3_1_10738;P2024-21_UAH_BelenPC3andEV_cultbatch2_rep3_1_500ng_Slot1-3_1_10738;PC3andEV_Cultbatch2_rep3;EV;3
C:\DATA_TRANSFER\Spain\P2024-21_Core_UAH_BelenS\20241220_CultBatch2\P2024-21_UAH_BelenPC3andEV_cultbatch2_rep4_1_500ng_Slot1-4_1_10748;P2024-21_UAH_BelenPC3andEV_cultbatch2_rep4_1_500ng_Slot1-4_1_10748;PC3andEV_Cultbatch2_rep4;EV;4
C:\DATA_TRANSFER\Spain\P2024-21_Core_UAH_BelenS\20241220_CultBatch2\P2024-21_UAH_BelenPC3andEV_cultbatch2_rep5_1_500ng_Slot1-5_1_10756;P2024-21_UAH_BelenPC3andEV_cultbatch2_rep5_1_500ng_Slot1-5_1_10756;PC3andEV_Cultbatch2_rep5;EV;5
C:\DATA_TRANSFER\Spain\P2024-21_Core_UAH_BelenS\20241220_CultBatch2\P2024-21_UAH_BelenPC3andEV_cultbatch2_rep6_1_500ng_Slot1-6_1_10766;P2024-21_UAH_BelenPC3andEV_cultbatch2_rep6_1_500ng_Slot1-6_1_10766;PC3andEV_Cultbatch2_rep6;EV;6
C:\DATA_TRANSFER\Spain\P2024-21_Core_UAH_BelenS\20241202_CultBatch1\P2024-21_UAH_BelenPC3andEVandCAP_cultbatch1_rep1_1_500ng_Slot1-16_1_10403;P2024-21_UAH_BelenPC3andEVandCAP_cultbatch1_rep1_1_500ng_Slot1-16_1_10403;PC3andEVandCAP_Cultbatch1_rep1;EV_CAP;1
C:\DATA_TRANSFER\Spain\P2024-21_Core_UAH_BelenS\20241202_CultBatch1\P2024-21_UAH_BelenPC3andEVandCAP_cultbatch1_rep2_1_500ng_Slot1-17_1_10411;P2024-21_UAH_BelenPC3andEVandCAP_cultbatch1_rep2_1_500ng_Slot1-17_1_10411;PC3andEVandCAP_Cultbatch1_rep2;EV_CAP;2
C:\DATA_TRANSFER\Spain\P2024-21_Core_UAH_BelenS\20241202_CultBatch1\P2024-21_UAH_BelenPC3andEVandCAP_cultbatch1_rep3_1_500ng_Slot1-18_1_10422;P2024-21_UAH_BelenPC3andEVandCAP_cultbatch1_rep3_1_500ng_Slot1-18_1_10422;PC3andEVandCAP_Cultbatch1_rep3;EV_CAP;3
C:\DATA_TRANSFER\Spain\P2024-21_Core_UAH_BelenS\20241202_CultBatch1\P2024-21_UAH_BelenPC3andEVandCAP_cultbatch1_rep4_1_500ng_Slot1-19_1_10430;P2024-21_UAH_BelenPC3andEVandCAP_cultbatch1_rep4_1_500ng_Slot1-19_1_10430;PC3andEVandCAP_Cultbatch1_rep4;EV_CAP;4
C:\DATA_TRANSFER\Spain\P2024-21_Core_UAH_BelenS\20241202_CultBatch1\P2024-21_UAH_BelenPC3andEVandCAP_cultbatch1_rep5_1_500ng_Slot1-20_1_10440;P2024-21_UAH_BelenPC3andEVandCAP_cultbatch1_rep5_1_500ng_Slot1-20_1_10440;PC3andEVandCAP_Cultbatch1_rep5;EV_CAP;5
C:\DATA_TRANSFER\Spain\P2024-21_Core_UAH_BelenS\20241202_CultBatch1\P2024-21_UAH_BelenPC3andEVandCAP_cultbatch1_rep6_1_500ng_Slot1-21_1_10448;P2024-21_UAH_BelenPC3andEVandCAP_cultbatch1_rep6_1_500ng_Slot1-21_1_10448;PC3andEVandCAP_Cultbatch1_rep6;EV_CAP;6
C:\DATA_TRANSFER\Spain\P2024-21_Core_UAH_BelenS\20241220_CultBatch2\P2024-21_UAH_BelenPC3andEVandCAP_cultbatch2_rep1_1_500ng_Slot1-7_1_10722;P2024-21_UAH_BelenPC3andEVandCAP_cultbatch2_rep1_1_500ng_Slot1-7_1_10722;PC3andEVandCAP_Cultbatch2_rep1;EV_CAP;1
C:\DATA_TRANSFER\Spain\P2024-21_Core_UAH_BelenS\20241220_CultBatch2\P2024-21_UAH_BelenPC3andEVandCAP_cultbatch2_rep2_1_500ng_Slot1-8_1_10730;P2024-21_UAH_BelenPC3andEVandCAP_cultbatch2_rep2_1_500ng_Slot1-8_1_10730;PC3andEVandCAP_Cultbatch2_rep2;EV_CAP;2
C:\DATA_TRANSFER\Spain\P2024-21_Core_UAH_BelenS\20241220_CultBatch2\P2024-21_UAH_BelenPC3andEVandCAP_cultbatch2_rep3_1_500ng_Slot1-9_1_10740;P2024-21_UAH_BelenPC3andEVandCAP_cultbatch2_rep3_1_500ng_Slot1-9_1_10740;PC3andEVandCAP_Cultbatch2_rep3;EV_CAP;3
C:\DATA_TRANSFER\Spain\P2024-21_Core_UAH_BelenS\20241220_CultBatch2\P2024-21_UAH_BelenPC3andEVandCAP_cultbatch2_rep4_1_500ng_Slot1-10_1_10750;P2024-21_UAH_BelenPC3andEVandCAP_cultbatch2_rep4_1_500ng_Slot1-10_1_10750;PC3andEVandCAP_Cultbatch2_rep4;EV_CAP;4
C:\DATA_TRANSFER\Spain\P2024-21_Core_UAH_BelenS\20241220_CultBatch2\P2024-21_UAH_BelenPC3andEVandCAP_cultbatch2_rep5_1_500ng_Slot1-11_1_10760;P2024-21_UAH_BelenPC3andEVandCAP_cultbatch2_rep5_1_500ng_Slot1-11_1_10760;PC3andEVandCAP_Cultbatch2_rep5;EV_CAP;5
C:\DATA_TRANSFER\Spain\P2024-21_Core_UAH_BelenS\20241220_CultBatch2\P2024-21_UAH_BelenPC3andEVandCAP_cultbatch2_rep6_1_500ng_Slot1-12_1_10768;P2024-21_UAH_BelenPC3andEVandCAP_cultbatch2_rep6_1_500ng_Slot1-12_1_10768;PC3andEVandCAP_Cultbatch2_rep6;EV_CAP;6